
0545: Addr:1 RW:1 DOUT:24000000001E202024000000001E2020 DIN:000000003281E1E1E1E1E1E1E1E1E1E1 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:8158763 CE:1
0546: Addr:B RW:0 DOUT:012000000000F101012000000000F101 DIN:00000000000000000000000000000000 RW:07FFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:5 CE:1
0547: Addr:F RW:1 DOUT:00000000000000000000000000000000 DIN:00210000000000040021000000000004 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:5056 CE:1
0548: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00100000000001840010000000000184 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:1016448 CE:1
0549: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00500000000000840050000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:960 CE:1
0550: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00000000000000840050000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:320 CE:1
0551: Addr:2 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:939648 CE:1
0552: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:129408 CE:1
0553: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:135616 CE:1
0554: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:1062464 CE:1
0555: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:93056 CE:1
0556: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:109056 CE:1
0557: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:263936 CE:1
0558: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:96192 CE:1
0559: Addr:0 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:99072 CE:1
0560: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:126720 CE:1
0561: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:96704 CE:1
0562: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:355648 CE:1
0563: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:230464 CE:1
0564: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:387712 CE:1
0565: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00F00000000000840000000000000084 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:145344 CE:1
0566: Addr:1 RW:1 DOUT:00000000000000000000000000000000 DIN:00100000000000940010000000000094 RW:FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF CLKS:921856 CE:1
